kabkot,kabkot_kode,prov,year,lf_non1,lf_non2,lf_non,lf_sd,lf_smp,lf_sma1,lf_sma2,lf_sma,lf_tert11,lf_tert12,lf_tert2,lf_tert,lf
Kabupaten Lumajang,3508,35,2018,37730,75057,112787,228807,81162,61018,26755,87773,NA,NA,34161,43394,553923
Kabupaten Jember,3509,35,2018,120911,289339,410250,364271,196213,139152,72150,211302,NA,NA,75900,94636,1276672
Kabupaten Banyuwangi,3510,35,2018,27502,141071,168573,274725,187441,131124,85504,216628,NA,NA,38460,55989,903356
Kabupaten Bondowoso,3511,35,2018,36969,130101,167070,116009,48641,46552,30398,76950,NA,NA,22212,27860,436530
Kabupaten Situbondo,3512,35,2018,35190,97396,132586,103902,54243,48004,23941,71945,NA,NA,24645,27590,390266
Kabupaten Probolinggo,3513,35,2018,51891,116136,168027,203906,103452,75649,30095,105744,NA,NA,29926,31634,612763
Kabupaten Pasuruan,3514,35,2018,22710,148558,171268,232786,150639,134893,116914,251807,NA,NA,48925,58030,864530
Kabupaten Sidoarjo,3515,35,2018,1043,25651,26694,119816,184695,298556,243628,542184,NA,NA,186332,221261,1094650
Kabupaten Mojokerto,3516,35,2018,3660,67333,70993,144763,149750,119570,91572,211142,NA,NA,34869,40085,616733
Kabupaten Jombang,3517,35,2018,3944,78830,82774,159821,172970,110230,82319,192549,NA,NA,57172,66039,674153
Kabupaten Nganjuk,3518,35,2018,15135,59698,74833,178061,125180,73359,66299,139658,NA,NA,31757,38209,555941
Kabupaten Madiun,3519,35,2018,14119,52279,66398,94153,72803,48989,63200,112189,NA,NA,25467,31405,376948
Kabupaten Magetan,3520,35,2018,2914,54331,57245,110756,73976,39439,66515,105954,NA,NA,35134,45195,393126
Kabupaten Ngawi,3521,35,2018,19205,77463,96668,168619,98601,44261,60111,104372,NA,NA,26634,30844,499104
Kabupaten Bojonegoro,3522,35,2018,48833,72906,121739,206065,122138,96744,64130,160874,NA,NA,39307,50353,661169
Kabupaten Tuban,3523,35,2018,48541,91282,139823,213982,127162,86739,50875,137614,NA,NA,35554,40918,659499
Kabupaten Lamongan,3524,35,2018,19927,87708,107635,142102,130447,136589,53987,190576,NA,NA,58275,64085,634845
Kabupaten Gresik,3525,35,2018,6005,40225,46230,122782,130969,170361,85994,256355,NA,NA,90711,108187,664523
Kabupaten Bangkalan,3526,35,2018,64256,90418,154674,159222,85336,63590,8455,72045,NA,NA,20128,22992,494269
Kabupaten Sampang,3527,35,2018,108128,120139,228267,113156,45845,47439,10137,57576,NA,NA,24603,27790,472634
Kabupaten Pamekasan,3528,35,2018,62486,82477,144963,127745,48748,68038,21877,89915,NA,NA,41724,46715,458086
Kabupaten Sumenep,3529,35,2018,144242,85562,229804,199373,63418,79314,9687,89001,NA,NA,34454,38063,619659
Kota Kediri,3571,35,2018,832,7178,8010,19232,21710,36995,33200,70195,NA,NA,21469,26409,145556
Kota Blitar,3572,35,2018,254,5627,5881,13592,14507,14147,16837,30984,NA,NA,10967,13856,78820
Kota Malang,3573,35,2018,3360,33537,36897,73601,65410,71915,82049,153964,NA,NA,107342,124977,454849
Kota Probolinggo,3574,35,2018,1330,12450,13780,26443,16544,20093,20261,40354,NA,NA,14638,18619,115740
Kota Pasuruan,3575,35,2018,359,10430,10789,16486,15989,19269,21658,40927,NA,NA,13126,15106,99297
Kota Mojokerto,3576,35,2018,125,4587,4712,9381,10291,15025,13947,28972,NA,NA,12067,15156,68512
Kota Madiun,3577,35,2018,347,2915,3262,9284,13871,18692,23041,41733,NA,NA,18273,22208,90358
Kota Surabaya,3578,35,2018,13112,87365,100477,180955,240085,377861,305952,683813,NA,NA,258945,314711,1520041
Kota Batu,3579,35,2018,220,11192,11412,27304,23057,21221,16875,38096,NA,NA,9265,12633,112502
Kabupaten Pacitan,3501,35,2019,8594,43923,52517,126589,80683,37260,34670,71930,NA,NA,22399,24583,356302
Kabupaten Ponorogo,3502,35,2019,21548,73635,95183,132904,108877,67224,50206,117430,NA,NA,36596,46063,500457
Kabupaten Trenggalek,3503,35,2019,5514,32663,38177,171620,85270,39401,41639,81040,NA,NA,26400,31713,407820
Kabupaten Tulungagung,3504,35,2019,6103,38288,44391,196775,140129,69734,68173,137907,NA,NA,46526,52609,571811
Kabupaten Blitar,3505,35,2019,10290,97331,107621,206830,148726,76095,72572,148667,NA,NA,42229,51098,662942
Kabupaten Kediri,3506,35,2019,17412,101342,118754,229327,195894,126699,121678,248377,NA,NA,64076,79805,872157
Kabupaten Malang,3507,35,2019,24588,178301,202889,483870,288226,153389,184024,337413,NA,NA,84273,105165,1417563
Kabupaten Lumajang,3508,35,2019,29892,80938,110830,221264,85756,60201,28842,89043,NA,NA,27081,32477,539370
Kabupaten Jember,3509,35,2019,97819,250190,348009,394208,212370,125036,102017,227053,NA,NA,72070,87834,1269474
Kabupaten Banyuwangi,3510,35,2019,30556,152099,182655,248329,190831,129325,93603,222928,NA,NA,51223,63567,908310
Kabupaten Bondowoso,3511,35,2019,31508,141175,172683,133780,60096,45879,25534,71413,NA,NA,24047,28850,466822
Kabupaten Situbondo,3512,35,2019,39809,88509,128318,97733,42014,61315,31621,92936,NA,NA,27944,34035,395036
Kabupaten Probolinggo,3513,35,2019,47332,126972,174304,214023,84454,70389,43382,113771,NA,NA,27693,33612,620164
Kabupaten Pasuruan,3514,35,2019,26305,142504,168809,235857,153876,143638,107944,251582,NA,NA,39253,50961,861085
Kabupaten Sidoarjo,3515,35,2019,3736,25309,29045,139660,189660,271555,292919,564474,NA,NA,189130,230693,1153532
Kabupaten Mojokerto,3516,35,2019,8120,45365,53485,128331,133627,115495,115887,231382,NA,NA,44329,54553,601378
Kabupaten Jombang,3517,35,2019,5403,72062,77465,144994,169081,127608,111344,238952,NA,NA,49255,58626,689118
Kabupaten Nganjuk,3518,35,2019,11026,64890,75916,165992,125323,67526,70098,137624,NA,NA,35663,44325,549180
Kabupaten Madiun,3519,35,2019,10770,59204,69974,93581,76064,48803,56522,105325,NA,NA,29061,38578,383522
Kabupaten Magetan,3520,35,2019,8261,36017,44278,115116,67578,52921,54568,107489,NA,NA,24188,32600,367061
Kabupaten Ngawi,3521,35,2019,24732,70870,95602,137467,93709,62070,58148,120218,NA,NA,27005,33919,480915
Kabupaten Bojonegoro,3522,35,2019,55114,90684,145798,207901,156595,96736,44382,141118,NA,NA,44024,53227,704639
Kabupaten Tuban,3523,35,2019,36069,66990,103059,238982,117518,85778,46645,132423,NA,NA,35324,42901,634883
Kabupaten Lamongan,3524,35,2019,21501,65497,86998,154963,140371,131333,53762,185095,NA,NA,67432,77830,645257
Kabupaten Gresik,3525,35,2019,14282,34498,48780,123108,119702,180859,100995,281854,NA,NA,72083,83829,657273
Kabupaten Bangkalan,3526,35,2019,57065,72627,129692,182237,47899,55304,12684,67988,NA,NA,27694,30496,458312
Kabupaten Sampang,3527,35,2019,116575,94147,210722,123831,60849,48194,5414,53608,NA,NA,21933,24109,473119
Kabupaten Pamekasan,3528,35,2019,76887,55654,132541,126290,59405,65831,21450,87281,NA,NA,44582,50340,455857
Kabupaten Sumenep,3529,35,2019,114335,117740,232075,180285,96091,94368,5193,99561,NA,NA,39802,46333,654345
Kota Kediri,3571,35,2019,656,7094,7750,19575,24219,32923,26482,59405,NA,NA,29727,34853,145802
Kota Blitar,3572,35,2019,211,3822,4033,12717,13315,14890,18882,33772,NA,NA,12594,15606,79443
Kota Malang,3573,35,2019,584,27207,27791,74304,56977,86597,95070,181667,NA,NA,98692,117477,458216
Kota Probolinggo,3574,35,2019,1689,11648,13337,20491,15649,24590,21827,46417,NA,NA,15720,19314,115208
Kota Pasuruan,3575,35,2019,1597,12717,14314,14827,14173,21603,18230,39833,NA,NA,16230,19537,102684
Kota Mojokerto,3576,35,2019,128,2782,2910,7830,9720,14826,15750,30576,NA,NA,11096,13770,64806
Kota Madiun,3577,35,2019,NA,2469,NA,10344,11165,22999,22287,45286,NA,NA,19449,24841,94105
Kota Surabaya,3578,35,2019,6238,76158,82396,210141,219918,346714,317565,664279,NA,NA,329764,390112,1566846
Kota Batu,3579,35,2019,1201,8373,9574,26544,20050,23429,16775,40204,NA,NA,14541,18200,114572
Kabupaten Pacitan,3501,35,2020,5012,29604,34616,139607,91287,32901,41223,74124,NA,NA,23876,26651,366285
Kabupaten Ponorogo,3502,35,2020,9481,78787,88268,138339,110464,73978,53458,127436,NA,NA,43760,49274,513781
Kabupaten Trenggalek,3503,35,2020,1400,34102,35502,182773,94884,43531,43031,86562,NA,NA,23608,29614,429335
Kabupaten Tulungagung,3504,35,2020,2046,40725,42771,187870,152543,91096,74383,165479,NA,NA,48663,58048,606711
Kabupaten Blitar,3505,35,2020,5209,85450,90659,216091,151273,81874,69311,151185,NA,NA,37869,48387,657595
Kabupaten Kediri,3506,35,2020,5444,74153,79597,266335,202934,135384,125871,261255,NA,NA,56110,68490,878611
Kabupaten Malang,3507,35,2020,5540,169946,175486,516371,313050,190911,162844,353755,NA,NA,101944,125790,1484452
Kabupaten Lumajang,3508,35,2020,10492,75761,86253,262982,98267,60883,21905,82788,NA,NA,25175,27464,557754
Kabupaten Jember,3509,35,2020,70757,252225,322982,436910,210543,149857,115513,265370,NA,NA,61580,80847,1316652
Kabupaten Banyuwangi,3510,35,2020,13917,153426,167343,250547,190163,143925,100292,244217,NA,NA,57554,70503,922773
Kabupaten Bondowoso,3511,35,2020,28070,138670,166740,150423,60220,40883,23309,64192,NA,NA,25774,30443,472018
Kabupaten Situbondo,3512,35,2020,11565,90772,102337,124457,48905,67603,30171,97774,NA,NA,28750,34789,408262
Kabupaten Probolinggo,3513,35,2020,27272,140409,167681,245124,98141,85508,44785,130293,NA,NA,27488,32494,673733
Kabupaten Pasuruan,3514,35,2020,6169,127993,134162,279592,145463,137066,118953,256019,NA,NA,41542,53559,868795
Kabupaten Sidoarjo,3515,35,2020,2307,18279,20586,121510,202130,331933,289418,621351,NA,NA,183430,232659,1198236
Kabupaten Mojokerto,3516,35,2020,2039,53735,55774,146502,137496,115067,111430,226497,NA,NA,44304,54121,620390
Kabupaten Jombang,3517,35,2020,2691,52164,54855,169177,168546,128195,112369,240564,NA,NA,55382,64148,697290
Kabupaten Nganjuk,3518,35,2020,993,60183,61176,174385,123865,75465,76974,152439,NA,NA,32218,40146,552011
Kabupaten Madiun,3519,35,2020,5166,58860,64026,96362,78581,64490,55857,120347,NA,NA,27945,37054,396370
Kabupaten Magetan,3520,35,2020,1114,33773,34887,118437,76150,57045,60139,117184,NA,NA,26996,35105,381763
Kabupaten Ngawi,3521,35,2020,4514,73040,77554,159010,101546,56947,66383,123330,NA,NA,27222,34120,495560
Kabupaten Bojonegoro,3522,35,2020,20220,114975,135195,224889,146361,123124,60570,183694,NA,NA,51140,61962,752101
Kabupaten Tuban,3523,35,2020,15634,78648,94282,244239,140658,86000,67937,153937,NA,NA,38945,44643,677759
Kabupaten Lamongan,3524,35,2020,6085,54054,60139,183892,151147,159584,45542,205126,NA,NA,72299,81105,681409
Kabupaten Gresik,3525,35,2020,1231,35505,36736,144884,130073,182545,96228,278773,NA,NA,76752,94747,685213
Kabupaten Bangkalan,3526,35,2020,16270,82697,98967,212761,73729,80163,7831,87994,NA,NA,21616,26844,500295
Kabupaten Sampang,3527,35,2020,83483,133869,217352,132520,67246,62150,7643,69793,NA,NA,24957,26847,513758
Kabupaten Pamekasan,3528,35,2020,43958,72524,116482,147982,67849,78568,26792,105360,NA,NA,38160,42605,480278
Kabupaten Sumenep,3529,35,2020,97461,151010,248471,186607,90010,98223,7671,105894,NA,NA,32657,35459,666441
Kota Kediri,3571,35,2020,322,4077,4399,22065,24202,35387,28812,64199,NA,NA,31458,37400,152265
Kota Blitar,3572,35,2020,222,2830,3052,13764,12783,15285,18556,33841,NA,NA,12707,15005,78445
Kota Malang,3573,35,2020,0,28568,28568,70529,72182,87391,95990,183381,NA,NA,96636,115950,470610
Kota Probolinggo,3574,35,2020,1511,12051,13562,20711,20655,25509,24686,50195,NA,NA,19453,22794,127917
Kota Pasuruan,3575,35,2020,160,12040,12200,23269,13320,23643,18913,42556,NA,NA,13903,17166,108511
Kota Mojokerto,3576,35,2020,0,2569,2569,6743,9914,17386,17057,34443,NA,NA,13680,16251,69920
Kota Madiun,3577,35,2020,0,2705,2705,10954,11945,23506,25247,48753,NA,NA,20853,24172,98529
Kota Surabaya,3578,35,2020,1404,71751,73155,207836,209422,364391,344292,708683,NA,NA,324438,383468,1582564
Kota Batu,3579,35,2020,416,7762,8178,31515,20633,25804,18343,44147,NA,NA,12809,15247,119720
Kabupaten Cilacap,3301,33,2020,11430,156068,167498,280760,197509,79935,103696,183631,NA,NA,42426,58820,888218
Kabupaten Banyumas,3302,33,2020,7706,123183,130889,275653,170768,81438,138157,219595,NA,NA,60760,80650,877555
Kabupaten Purbalingga,3303,33,2020,3145,56291,59436,193758,114025,44156,55786,99942,NA,NA,26284,33100,500261
Kabupaten Banjarnegara,3304,33,2020,4742,71578,76320,208082,87291,45245,43592,88837,NA,NA,27971,34637,495167
Kabupaten Kebumen,3305,33,2020,1029,57199,58228,247829,119495,53876,114646,168522,NA,NA,29993,39613,633687
Kabupaten Purworejo,3306,33,2020,3036,38145,41181,108573,91305,46469,74150,120619,NA,NA,24057,33209,394887
Kabupaten Wonosobo,3307,33,2020,1799,33555,35354,230436,75315,37398,24962,62360,NA,NA,19659,24713,428178
Kabupaten Magelang,3308,33,2020,7256,94302,101558,241098,167848,79588,120454,200042,NA,NA,41040,63818,774364
Kabupaten Boyolali,3309,33,2020,8808,78954,87762,147659,125424,72777,103692,176469,NA,NA,29385,42918,580232
Kabupaten Klaten,3310,33,2020,9244,53643,62887,115675,116990,104373,165920,270293,NA,NA,51057,75400,641245
Kabupaten Sukoharjo,3311,33,2020,4111,22979,27090,104234,99608,80606,104112,184718,NA,NA,51049,72600,488250
Kabupaten Wonogiri,3312,33,2020,6380,55116,61496,229287,118527,53261,77326,130587,NA,NA,30566,42836,582733
Kabupaten Karanganyar,3313,33,2020,11953,39373,51326,123864,128803,77908,86061,163969,NA,NA,28446,47183,515145
Kabupaten Sragen,3314,33,2020,18489,71140,89629,118204,89720,66884,71508,138392,NA,NA,33619,45817,481762
Kabupaten Grobogan,3315,33,2020,7854,65346,73200,332302,158365,93207,46648,139855,NA,NA,32753,40683,744405
Kabupaten Blora,3316,33,2020,20228,71718,91946,147153,105088,58850,56011,114861,NA,NA,26202,33023,492071
Kabupaten Rembang,3317,33,2020,6809,37352,44161,116078,72427,46376,28842,75218,NA,NA,18017,22899,330783
Kabupaten Pati,3318,33,2020,13626,77250,90876,205433,132356,106293,57723,164016,NA,NA,36653,45269,637950
Kabupaten Kudus,3319,33,2020,1316,29625,30941,123396,118232,116922,62902,179824,NA,NA,52239,59926,512319
Kabupaten Jepara,3320,33,2020,5230,58707,63937,221637,168470,125456,52498,177954,NA,NA,42655,47909,679907
Kabupaten Demak,3321,33,2020,5233,57692,62925,181117,143674,134917,52783,187700,NA,NA,38015,44476,619892
Kabupaten Semarang,3322,33,2020,3026,79463,82489,159064,147284,79983,113957,193940,NA,NA,31027,46261,629038
Kabupaten Temanggung,3323,33,2020,4599,63272,67871,124627,77698,27667,37674,65341,NA,NA,16222,21619,357156
Kabupaten Kendal,3324,33,2020,2284,73271,75555,141390,107696,84587,73765,158352,NA,NA,38077,50383,533376
Kabupaten Batang,3325,33,2020,1317,59478,60795,154701,85811,46759,38806,85565,NA,NA,24273,29704,416576
Kabupaten Pekalongan,3326,33,2020,4120,62594,66714,182469,101388,47510,47584,95094,NA,NA,27311,34766,480431
Kabupaten Pemalang,3327,33,2020,9993,96910,106903,240376,120066,61292,73311,134603,NA,NA,28974,36622,638570
Kabupaten Tegal,3328,33,2020,1269,126891,128160,237140,127455,71788,102900,174688,NA,NA,35289,47781,715224
Kabupaten Brebes,3329,33,2020,25548,160759,186307,352247,147840,95047,91613,186660,NA,NA,27502,37501,910555
Kota Magelang,3371,33,2020,399,3886,4285,7895,9487,14177,16877,31054,NA,NA,9782,13590,66311
Kota Surakarta,3372,33,2020,329,12483,12812,40518,49788,51308,75269,126577,NA,NA,39947,59264,288959
Kota Salatiga,3373,33,2020,223,7360,7583,16237,16410,23153,24292,47445,NA,NA,17097,22581,110256
Kota Semarang,3374,33,2020,3457,56194,59651,114081,138571,193509,239532,433041,NA,NA,212954,278620,1023964
Kota Pekalongan,3375,33,2020,354,9075,9429,45399,31328,31500,21724,53224,NA,NA,14399,17880,157260
Kota Tegal,3376,33,2020,149,12983,13132,29523,20718,19356,25883,45239,NA,NA,11946,15978,124590
Kabupaten Bogor,3201,32,2020,NA,NA,273564,671524,489224,462901,522321,985222,NA,NA,NA,314136,2733670
Kabupaten Sukabumi,3202,32,2020,NA,NA,6437,531883,269286,155116,72272,227388,NA,NA,NA,53906,1146833
Kabupaten Cianjur,3203,32,2020,NA,NA,158462,566072,184776,11549,96689,108238,NA,NA,NA,64106,1185595
Kabupaten Bandung,3204,32,2020,NA,NA,38071,540313,453015,357854,179003,536857,NA,NA,NA,14912,1717376
Kabupaten Garut,3205,32,2020,NA,NA,109491,507345,232822,183258,62822,246080,NA,NA,NA,60442,1156180
Kabupaten Tasikmalaya,3206,32,2020,NA,NA,41788,513248,163971,97561,62906,160467,NA,NA,NA,65232,944706
Kabupaten Ciamis,3207,32,2020,NA,NA,24879,355499,131176,70341,5827,76168,NA,NA,NA,39027,679192
Kabupaten Kuningan,3208,32,2020,NA,NA,39051,221559,86022,6772,69707,76479,NA,NA,NA,37618,521677
Kabupaten Cirebon,3209,32,2020,NA,NA,181914,310896,173231,162184,173509,335693,NA,NA,NA,58628,1060362
Kabupaten Majalengka,3210,32,2020,NA,NA,55857,324525,106656,75353,57827,133180,NA,NA,NA,44156,664374
Kabupaten Sumedang,3211,32,2020,NA,NA,1851,238667,122598,95254,94737,189991,NA,NA,NA,67902,637668
Kabupaten Indramayu,3212,32,2020,NA,NA,269324,243462,151306,124019,99216,223235,NA,NA,NA,53379,940706
Kabupaten Subang,3213,32,2020,NA,NA,10104,284653,178509,113137,82547,195684,NA,NA,NA,64581,824467
Kabupaten Purwakarta,3214,32,2020,NA,NA,28112,13091,82901,88783,70826,159609,NA,NA,NA,30896,432428
Kabupaten Karawang,3215,32,2020,NA,NA,15176,311758,204999,216185,191122,407307,NA,NA,NA,86809,1162633
Kabupaten Bekasi,3216,32,2020,NA,NA,123532,301627,255073,447862,461721,909583,NA,NA,NA,250851,1840666
Kabupaten Bandung Barat,3217,32,2020,NA,NA,47268,301211,152408,122699,73857,196556,NA,NA,NA,50201,747644
Kabupaten Pangandaran,3218,32,2020,NA,NA,14538,114473,53444,27554,19348,46902,NA,NA,NA,16262,245619
Kota Bogor,3271,32,2020,NA,NA,17709,99235,7801,100172,12139,112311,NA,NA,NA,97807,514323
Kota Sukabumi,3272,32,2020,NA,NA,1459,34089,23344,34012,23676,57688,NA,NA,NA,23077,139657
Kota Bandung,3273,32,2020,NA,NA,20723,19581,213338,368024,20933,388957,NA,NA,NA,307705,1314930
Kota Cirebon,3274,32,2020,NA,NA,17154,24747,20439,38983,27135,66118,NA,NA,NA,28042,156500
Kota Bekasi,3275,32,2020,NA,NA,41264,140617,210888,340517,343384,683901,NA,NA,NA,433171,1509841
Kota Depok,3276,32,2020,NA,NA,40378,12038,154005,264561,290931,555492,NA,NA,NA,325377,1195632
Kota Cimahi,3277,32,2020,NA,NA,6331,3296,52442,74518,66103,140621,NA,NA,NA,614,293754
Kota Tasikmalaya,3278,32,2020,NA,NA,803,118442,66577,61179,54301,115480,NA,NA,NA,34756,343285
Kota Banjar,3279,32,2020,NA,NA,6429,31797,17236,12933,17763,30696,NA,NA,NA,12054,98212
Kabupaten Kep. Seribu,3101,31,2020,NA,NA,495,3302,2088,2746,960,3706,NA,NA,104,252,10779
Kota Jakarta Selatan,3171,31,2020,NA,NA,41467,128292,131669,261302,305839,567141,NA,NA,201419,265426,1133995
Kota Jakarta Timur,3172,31,2020,NA,NA,32811,128161,180109,322543,354898,677441,NA,NA,271484,367969,1386491
Kota Jakarta Pusat,3173,31,2020,NA,NA,14269,44323,61633,119512,113773,233285,NA,NA,80058,106523,460033
Kota Jakarta Barat,3174,31,2020,NA,NA,41729,199603,276764,323049,281146,604195,NA,NA,143805,186507,1308798
Kota Jakarta Utara,3175,31,2020,NA,NA,33339,143003,163312,235634,223393,459027,NA,NA,94209,133254,931935
Kabupaten Kulon Progo,3401,34,2020,NA,NA,5874,10570,12679,14369,19214,33583,NA,NA,9584,11923,74629
Kabupaten Bantul,3402,34,2020,NA,NA,45309,92556,79457,110220,128799,239019,NA,NA,77511,104106,560447
Kabupaten Gunungkidul,3403,34,2020,NA,NA,4702,14086,13535,12957,10375,23332,NA,NA,5052,7750,63405
Kabupaten Sleman,3404,34,2020,NA,NA,39654,60125,95272,148847,175239,324086,NA,NA,130144,176927,696064
Kota Yogyakarta,3471,34,2020,NA,NA,9698,26657,32834,55148,60456,115604,NA,NA,48374,62299,247092
Kabupaten Pandeglang,3601,36,2020,NA,NA,49095,250457,104303,NA,NA,93043,NA,NA,NA,32664,529562
Kabupaten Lebak,3602,36,2020,NA,NA,84187,324428,113319,NA,NA,107902,NA,NA,NA,30070,659906
Kabupaten Tangerang,3603,36,2020,NA,NA,150768,426539,366752,NA,NA,718684,NA,NA,NA,173983,1836726
Kabupaten Serang,3604,36,2020,NA,NA,66812,211053,170862,NA,NA,215217,NA,NA,NA,35914,699858
Kota Tangerang,3671,36,2020,NA,NA,42408,117171,184943,NA,NA,552313,NA,NA,NA,230764,1127599
Kota Cilegon,3672,36,2020,NA,NA,14083,32857,33647,NA,NA,95614,NA,NA,NA,28474,204675
Kota Serang,3673,36,2020,NA,NA,25096,74343,53532,NA,NA,116175,NA,NA,NA,53338,322484
Kota Tangerang Selatan,3674,36,2020,NA,NA,30032,87848,114037,NA,NA,380171,NA,NA,NA,220335,832423
