kabkot,kabkot_kode,prov,year,lf_non1,lf_non2,lf_non,lf_sd,lf_smp,lf_sma1,lf_sma2,lf_sma,lf_tert11,lf_tert12,lf_tert2,lf_tert,lf
Kabupaten Mojokerto,3516,35,2012,8165,90777,98942,132740,137223,94642,47264,141906,NA,NA,30067,35344,546155
Kabupaten Jombang,3517,35,2012,9191,91262,100453,181701,134945,89727,52022,141749,NA,NA,30632,43066,601914
Kabupaten Nganjuk,3518,35,2012,27973,82807,110780,202277,101312,42691,44340,87031,NA,NA,16176,22302,523702
Kabupaten Madiun,3519,35,2012,25228,67704,92932,92459,61196,39629,50643,90272,NA,NA,20183,23900,360759
Kabupaten Magetan,3520,35,2012,10908,44786,55694,99540,60271,48788,47365,96153,NA,NA,30490,40811,352469
Kabupaten Ngawi,3521,35,2012,43849,58273,102122,153053,75701,37421,25575,62996,NA,NA,14460,23688,417560
Kabupaten Bojonegoro,3522,35,2012,39947,77893,117840,249031,146936,96788,18637,115425,NA,NA,18996,21346,650578
Kabupaten Tuban,3523,35,2012,36109,82378,118487,243010,110716,58673,24832,83505,NA,NA,11574,18844,574562
Kabupaten Lamongan,3524,35,2012,18840,94526,113366,173107,131426,123775,36853,160628,NA,NA,35483,40304,618831
Kabupaten Gresik,3525,35,2012,15070,32480,47550,113307,104046,151776,66488,218264,NA,NA,56707,74456,557623
Kabupaten Bangkalan,3526,35,2012,96422,66265,162687,206724,36340,25651,7768,33419,NA,NA,14788,15973,455143
Kabupaten Sampang,3527,35,2012,147549,98735,246284,157994,34707,23092,191,23283,NA,NA,9151,14616,476884
Kabupaten Pamekasan,3528,35,2012,146034,40338,186372,135862,59230,35745,13407,49152,NA,NA,21029,28113,458729
Kabupaten Sumenep,3529,35,2012,146300,102218,248518,224925,80500,54733,880,55613,NA,NA,15664,17832,627388
Kota Kediri,3571,35,2012,585,8212,8797,23904,26693,34041,21948,55989,NA,NA,17045,23207,138590
Kota Blitar,3572,35,2012,543,5176,5719,14716,8906,11311,10375,21686,NA,NA,10323,13904,64931
Kota Malang,3573,35,2012,6425,56037,62462,58494,73424,66784,70113,136897,NA,NA,68902,82656,413933
Kota Probolinggo,3574,35,2012,4086,10431,14517,19400,12809,21044,21527,42571,NA,NA,14860,19984,109281
Kota Pasuruan,3575,35,2012,1356,11880,13236,16444,13843,17479,19934,37413,NA,NA,10850,12660,93596
Kota Mojokerto,3576,35,2012,1374,7886,9260,12439,12486,10947,13666,24613,NA,NA,5120,6095,64893
Kota Madiun,3577,35,2012,1124,2567,3691,10343,12756,22018,20966,42984,NA,NA,11225,13972,83746
Kota Surabaya,3578,35,2012,28461,87998,116459,247428,283445,346356,234482,580838,NA,NA,145974,191507,1419677
Kota Batu,3579,35,2012,1689,14496,16185,28595,18582,15349,10655,26004,NA,NA,9698,12367,101733
Kabupaten Pacitan,3501,35,2013,18677,42182,60859,142707,77677,19537,21978,41515,NA,NA,12965,14382,337140
Kabupaten Ponorogo,3502,35,2013,33194,85317,118511,146289,97471,45277,43164,88441,NA,NA,26699,30973,481685
Kabupaten Trenggalek,3503,35,2013,19381,49179,68560,176753,92054,24353,33337,57690,NA,NA,12075,12567,407624
Kabupaten Tulungagung,3504,35,2013,12736,63447,76183,214479,118437,58294,46024,104318,NA,NA,24379,27721,541138
Kabupaten Blitar,3505,35,2013,12334,84773,97107,234806,137689,63909,41685,105594,NA,NA,29649,41063,616259
Kabupaten Kediri,3506,35,2013,24259,119180,143439,244073,168308,93327,87094,180421,NA,NA,37198,42722,778963
Kabupaten Malang,3507,35,2013,57359,255285,312644,453991,257928,105741,113821,219562,NA,NA,32059,48114,1292239
Kabupaten Lumajang,3508,35,2013,47278,86930,134208,234560,69245,42470,11400,53870,NA,NA,10736,16608,508491
Kabupaten Jember,3509,35,2013,133477,271862,405339,418413,161267,91121,38532,129653,NA,NA,26651,35724,1150396
Kabupaten Banyuwangi,3510,35,2013,52088,160752,212840,281837,190729,90902,62155,153057,NA,NA,21019,27284,865747
Kabupaten Bondowoso,3511,35,2013,47799,112582,160381,100636,44921,37002,21628,58630,NA,NA,17861,23209,387777
Kabupaten Situbondo,3512,35,2013,56161,92903,149064,97078,38375,35313,11701,47014,NA,NA,15967,18245,349776
Kabupaten Probolinggo,3513,35,2013,90535,162417,252952,184985,63612,55392,22055,77447,NA,NA,23217,29282,608278
Kabupaten Pasuruan,3514,35,2013,31089,144657,175746,289347,119903,115291,73435,188726,NA,NA,36571,46612,820334
Kabupaten Sidoarjo,3515,35,2013,5242,41931,47173,146120,210176,254317,197914,452231,NA,NA,147424,171962,1027662
Kabupaten Mojokerto,3516,35,2013,7597,75166,82763,135232,128315,96335,62615,158950,NA,NA,23651,33196,538456
Kabupaten Jombang,3517,35,2013,14211,74649,88860,161404,160238,86075,45103,131178,NA,NA,31008,43207,584887
Kabupaten Nganjuk,3518,35,2013,23455,84953,108408,181022,117042,53579,46013,99592,NA,NA,29390,34799,540863
Kabupaten Madiun,3519,35,2013,31027,50864,81891,93691,71837,43359,49219,92578,NA,NA,14115,20088,360085
Kabupaten Magetan,3520,35,2013,8936,38331,47267,102182,50797,49371,61553,110924,NA,NA,29800,35848,347018
Kabupaten Ngawi,3521,35,2013,38025,65156,103181,156685,108890,45261,31832,77093,NA,NA,13874,19436,465285
Kabupaten Bojonegoro,3522,35,2013,31802,88546,120348,248914,173741,102186,19921,122107,NA,NA,18851,20456,685566
Kabupaten Tuban,3523,35,2013,48088,92577,140665,230461,115697,73436,28125,101561,NA,NA,14923,19925,608309
Kabupaten Lamongan,3524,35,2013,17127,90113,107240,155237,162802,136733,32669,169402,NA,NA,32803,39321,634002
Kabupaten Gresik,3525,35,2013,13652,44343,57995,105896,126400,163984,61035,225019,NA,NA,75194,97011,612321
Kabupaten Bangkalan,3526,35,2013,102205,64153,166358,207807,40778,31255,6189,37444,NA,NA,11950,13784,466171
Kabupaten Sampang,3527,35,2013,156753,96913,253666,115393,46833,29012,1232,30244,NA,NA,11034,14286,460422
Kabupaten Pamekasan,3528,35,2013,172151,53808,225959,123344,40794,48691,9031,57722,NA,NA,19600,24832,472651
Kabupaten Sumenep,3529,35,2013,146346,101557,247903,204901,90530,57688,2343,60031,NA,NA,15332,16889,620254
Kota Kediri,3571,35,2013,1064,6442,7506,23218,20238,37571,23414,60985,NA,NA,18569,23632,135579
Kota Blitar,3572,35,2013,314,3811,4125,11770,10020,11579,14656,26235,NA,NA,12452,15530,67680
Kota Malang,3573,35,2013,1374,31656,33030,78335,71732,76377,86993,163370,NA,NA,67597,84936,431403
Kota Probolinggo,3574,35,2013,3526,9094,12620,18753,13085,19425,21361,40786,NA,NA,14222,19642,104886
Kota Pasuruan,3575,35,2013,947,10142,11089,21046,11113,19767,17947,37714,NA,NA,12717,15860,96822
Kota Mojokerto,3576,35,2013,751,5680,6431,11664,15848,11700,14487,26187,NA,NA,3779,4974,65104
Kota Madiun,3577,35,2013,657,3657,4314,9772,14439,27456,18441,45897,NA,NA,11168,14892,89314
Kota Surabaya,3578,35,2013,25930,88882,114812,226524,254981,372918,308018,680936,NA,NA,161358,196212,1473465
Kota Batu,3579,35,2013,1386,13618,15004,31760,17636,17557,11104,28661,NA,NA,8804,10682,103743
Kabupaten Pacitan,3501,35,2014,17308,52484,69792,150518,72161,22071,20132,42203,NA,NA,12765,14381,349055
Kabupaten Ponorogo,3502,35,2014,18039,126262,144301,151071,88807,55274,29305,84579,NA,NA,24805,27685,496443
Kabupaten Trenggalek,3503,35,2014,11544,57497,69041,177069,92560,26752,25764,52516,NA,NA,6023,7898,399084
Kabupaten Tulungagung,3504,35,2014,11415,60678,72093,216502,124289,62453,45626,108079,NA,NA,32535,44188,565151
Kabupaten Blitar,3505,35,2014,11888,90356,102244,200152,150134,58036,51784,109820,NA,NA,33360,43726,606076
Kabupaten Kediri,3506,35,2014,15139,116073,131212,258275,165495,97675,92361,190036,NA,NA,36502,40632,785650
Kabupaten Malang,3507,35,2014,49883,244089,293972,449893,232505,117306,115273,232579,NA,NA,51549,64648,1273597
Kabupaten Lumajang,3508,35,2014,46259,84951,131210,222564,77396,48948,12953,61901,NA,NA,14748,21595,514666
Kabupaten Jember,3509,35,2014,138335,273166,411501,395556,140231,99016,50681,149697,NA,NA,47796,60477,1157462
Kabupaten Banyuwangi,3510,35,2014,48637,136765,185402,269335,174969,94302,81720,176022,NA,NA,27777,35462,841190
Kabupaten Bondowoso,3511,35,2014,55336,115180,170516,113455,46987,40941,19343,60284,NA,NA,20673,24903,416145
Kabupaten Situbondo,3512,35,2014,55647,81553,137200,94248,28677,43828,18859,62687,NA,NA,20648,25734,348546
Kabupaten Probolinggo,3513,35,2014,79856,168139,247995,183510,67450,54208,19668,73876,NA,NA,22777,28522,601353
Kabupaten Pasuruan,3514,35,2014,46800,148933,195733,292639,134339,109421,69931,179352,NA,NA,33942,41622,843685
Kabupaten Sidoarjo,3515,35,2014,4484,36184,40668,160705,188815,255422,230126,485548,NA,NA,155910,193972,1069708
Kabupaten Mojokerto,3516,35,2014,7207,76394,83601,139657,132692,98623,66242,164865,NA,NA,25250,32590,553405
Kabupaten Jombang,3517,35,2014,9736,73759,83495,166013,150832,95597,61836,157433,NA,NA,34919,46399,604172
Kabupaten Nganjuk,3518,35,2014,33478,92166,125644,178845,94331,56683,51321,108004,NA,NA,22112,27183,534007
Kabupaten Madiun,3519,35,2014,24323,62006,86329,112616,65229,37035,40108,77143,NA,NA,18044,21469,362786
Kabupaten Magetan,3520,35,2014,12373,47155,59528,93951,62781,38896,52866,91762,NA,NA,28515,35528,343550
Kabupaten Ngawi,3521,35,2014,49821,57720,107541,141047,83345,36896,47965,84861,NA,NA,16581,20580,437374
Kabupaten Bojonegoro,3522,35,2014,31127,88695,119822,237618,127979,97810,25277,123087,NA,NA,18525,19857,628363
Kabupaten Tuban,3523,35,2014,41389,82452,123841,204393,103191,76383,36550,112933,NA,NA,15810,24827,569185
Kabupaten Lamongan,3524,35,2014,16900,88380,105280,166625,139687,129629,31281,160910,NA,NA,30623,39119,611621
Kabupaten Gresik,3525,35,2014,6854,58357,65211,98765,90521,172632,73408,246040,NA,NA,78731,92032,592569
Kabupaten Bangkalan,3526,35,2014,75402,88695,164097,219616,35597,29316,8064,37380,NA,NA,14750,16721,473411
Kabupaten Sampang,3527,35,2014,154610,102674,257284,154131,45318,31844,1991,33835,NA,NA,14354,17037,507605
Kabupaten Pamekasan,3528,35,2014,153443,49841,203284,104965,56950,57918,13715,71633,NA,NA,24348,32249,469081
Kabupaten Sumenep,3529,35,2014,152826,115740,268566,189958,75663,55964,4523,60487,NA,NA,24279,27786,622460
Kota Kediri,3571,35,2014,763,4969,5732,25611,23545,39014,25600,64614,NA,NA,21367,25924,145426
Kota Blitar,3572,35,2014,376,3690,4066,11550,11965,12043,15043,27086,NA,NA,11195,14698,69365
Kota Malang,3573,35,2014,1691,36043,37734,76694,86424,70784,87018,157802,NA,NA,52213,64977,423631
Kota Probolinggo,3574,35,2014,4249,14420,18669,16797,14581,19415,22907,42322,NA,NA,16378,21153,113522
Kota Pasuruan,3575,35,2014,1017,10665,11682,18166,12428,19627,21027,40654,NA,NA,11853,14197,97127
Kota Mojokerto,3576,35,2014,794,4728,5522,12422,12244,11448,15948,27396,NA,NA,5442,7046,64630
Kota Madiun,3577,35,2014,508,3348,3856,9833,12582,21405,22774,44179,NA,NA,12292,16168,86618
Kota Surabaya,3578,35,2014,45179,82500,127679,236012,242579,333591,302603,636194,NA,NA,170969,223038,1465502
Kota Batu,3579,35,2014,804,15385,16189,32437,18132,18175,12689,30864,NA,NA,8055,9155,106777
Kabupaten Pacitan,3501,35,2015,16523,42037,58560,136787,76797,25323,35854,61177,NA,NA,17614,19851,353172
Kabupaten Ponorogo,3502,35,2015,18338,102560,120898,147635,90398,45239,46912,92151,NA,NA,28498,34163,485245
Kabupaten Trenggalek,3503,35,2015,8321,44114,52435,167256,88478,40745,39247,79992,NA,NA,12323,16386,404547
Kabupaten Tulungagung,3504,35,2015,8055,44371,52426,181477,124864,90615,58851,149466,NA,NA,35442,39233,547466
Kabupaten Blitar,3505,35,2015,18148,71332,89480,179314,142943,77757,54321,132078,NA,NA,40457,53824,597639
Kabupaten Kediri,3506,35,2015,31433,104692,136125,250380,164493,101580,96318,197898,NA,NA,40777,51998,800894
Kabupaten Malang,3507,35,2015,24775,191191,215966,435009,285589,135606,148843,284449,NA,NA,55947,71330,1292343
Kabupaten Lumajang,3508,35,2015,38903,102479,141382,192926,96452,65305,13815,79120,NA,NA,18110,22125,532005
Kabupaten Jember,3509,35,2015,136937,241378,378315,350327,165686,130131,73345,203476,NA,NA,62137,75335,1173139
Kabupaten Banyuwangi,3510,35,2015,48812,170157,218969,261404,168086,122465,71362,193827,NA,NA,40291,51530,893816
Kabupaten Bondowoso,3511,35,2015,51720,140987,192707,117747,45741,31963,23332,55295,NA,NA,11511,13361,424851
Kabupaten Situbondo,3512,35,2015,54805,80806,135611,100526,48603,36376,20189,56565,NA,NA,17513,23529,364834
Kabupaten Probolinggo,3513,35,2015,47839,186808,234647,198304,73478,50026,23439,73465,NA,NA,16029,21787,601681
Kabupaten Pasuruan,3514,35,2015,31243,121295,152538,244874,138206,132930,92005,224935,NA,NA,45292,54475,815028
Kabupaten Sidoarjo,3515,35,2015,1507,44881,46388,139664,186702,321325,226537,547862,NA,NA,132492,162903,1083519
Kabupaten Mojokerto,3516,35,2015,10849,81662,92511,110201,120972,114551,78469,193020,NA,NA,43561,58626,575330
Kabupaten Jombang,3517,35,2015,9191,69191,78382,161568,191576,85368,70952,156320,NA,NA,50356,59596,647442
Kabupaten Nganjuk,3518,35,2015,8470,56708,65178,191591,117407,64157,46922,111079,NA,NA,25106,31718,516973
Kabupaten Madiun,3519,35,2015,17285,45431,62716,94111,70575,38900,56880,95780,NA,NA,22506,28570,351752
Kabupaten Magetan,3520,35,2015,10188,38249,48437,106928,77015,40158,57948,98106,NA,NA,15925,22340,352826
Kabupaten Ngawi,3521,35,2015,27340,48402,75742,159884,83094,50850,32996,83846,NA,NA,20788,28465,431031
Kabupaten Bojonegoro,3522,35,2015,30020,89912,119932,213302,116853,92257,44536,136793,NA,NA,49722,53386,640266
Kabupaten Tuban,3523,35,2015,24833,72483,97316,218834,127989,86319,33380,119699,NA,NA,28781,39201,603039
Kabupaten Lamongan,3524,35,2015,21069,95274,116343,173662,132578,136915,33421,170336,NA,NA,35109,40129,633048
Kabupaten Gresik,3525,35,2015,10318,39022,49340,114245,143106,175669,65340,241009,NA,NA,54307,64021,611721
Kabupaten Bangkalan,3526,35,2015,78462,71203,149665,196192,69499,39428,8306,47734,NA,NA,15771,18262,481352
Kabupaten Sampang,3527,35,2015,123937,102052,225989,146197,36357,25292,4856,30148,NA,NA,18879,20309,459000
Kabupaten Pamekasan,3528,35,2015,50751,64712,115463,140967,73933,63681,12691,76372,NA,NA,30621,37546,444281
Kabupaten Sumenep,3529,35,2015,135228,117517,252745,146707,67685,79893,2265,82158,NA,NA,31826,43848,593143
Kota Kediri,3571,35,2015,1654,8166,9820,21450,21682,32899,28348,61247,NA,NA,24920,28429,142628
Kota Blitar,3572,35,2015,422,6721,7143,10223,12529,14501,16396,30897,NA,NA,12084,14724,75516
Kota Malang,3573,35,2015,3913,29072,32985,57310,56104,75135,59780,134915,NA,NA,97287,125621,406935
Kota Probolinggo,3574,35,2015,5157,14112,19269,23163,15353,17000,19992,36992,NA,NA,12305,14559,109336
Kota Pasuruan,3575,35,2015,2388,11968,14356,19549,14015,19047,16045,35092,NA,NA,12281,14481,97493
Kota Mojokerto,3576,35,2015,153,3014,3167,9892,9955,16860,15686,32546,NA,NA,8932,11519,67079
Kota Madiun,3577,35,2015,713,4143,4856,13910,13347,20466,20866,41332,NA,NA,14532,17276,90721
Kota Surabaya,3578,35,2015,14509,78134,92643,233858,245299,361508,293001,654509,NA,NA,202689,241785,1468094
Kota Batu,3579,35,2015,357,11017,11374,27929,17662,17462,14629,32091,NA,NA,13454,16440,105496
Kabupaten Pacitan,3501,35,2017,10438,23008,33446,166114,77374,25959,25626,51585,NA,NA,21316,23773,352292
Kabupaten Ponorogo,3502,35,2017,33549,60485,94034,147693,93832,78694,48149,126843,NA,NA,36671,44446,506848
Kabupaten Trenggalek,3503,35,2017,1493,48475,49968,155538,89715,41982,28171,70153,NA,NA,23755,27043,392417
Kabupaten Tulungagung,3504,35,2017,5146,52386,57532,197766,130856,60564,46766,107330,NA,NA,38154,43597,537081
Kabupaten Blitar,3505,35,2017,7584,125315,132899,179058,152703,70142,67774,137916,NA,NA,26010,35559,638135
Kabupaten Kediri,3506,35,2017,17885,113842,131727,250855,176357,123875,104098,227973,NA,NA,48949,67084,853996
Kabupaten Malang,3507,35,2017,24517,199603,224120,445021,254971,144218,146383,290601,NA,NA,85729,103898,1318611
Kabupaten Lumajang,3508,35,2017,44413,62912,107325,196641,79283,67325,23293,90618,NA,NA,35340,41649,515516
Kabupaten Jember,3509,35,2017,92675,307898,400573,397769,192202,120879,83465,204344,NA,NA,72400,86354,1281242
Kabupaten Banyuwangi,3510,35,2017,52989,134833,187822,256860,186936,141488,75932,217420,NA,NA,42074,57697,906735
Kabupaten Bondowoso,3511,35,2017,36088,121185,157273,142524,50943,38494,24371,62865,NA,NA,24550,30717,444322
Kabupaten Situbondo,3512,35,2017,25793,113127,138920,91465,53306,48979,23996,72975,NA,NA,23542,26351,383017
Kabupaten Probolinggo,3513,35,2017,36764,127025,163789,201343,94747,75536,22025,97561,NA,NA,31040,33494,590934
Kabupaten Pasuruan,3514,35,2017,23537,98026,121563,249299,165543,133060,89203,222263,NA,NA,51759,60654,819322
Kabupaten Sidoarjo,3515,35,2017,2779,33168,35947,134046,164243,286137,236055,522192,NA,NA,188586,218931,1075359
Kabupaten Mojokerto,3516,35,2017,19946,47990,67936,152241,146164,104309,109904,214213,NA,NA,33449,40105,620659
Kabupaten Jombang,3517,35,2017,12181,91167,103348,144780,176191,102263,86048,188311,NA,NA,43955,51759,664389
Kabupaten Nganjuk,3518,35,2017,11967,42952,54919,171388,114763,58409,72055,130464,NA,NA,28492,32625,504159
Kabupaten Madiun,3519,35,2017,11954,38048,50002,104432,67503,44063,54490,98553,NA,NA,23584,29175,349665
Kabupaten Magetan,3520,35,2017,6712,52548,59260,110738,76124,40645,59373,100018,NA,NA,35050,44468,390608
Kabupaten Ngawi,3521,35,2017,20997,70840,91837,154223,72899,36334,50857,87191,NA,NA,25248,30105,436255
Kabupaten Bojonegoro,3522,35,2017,67673,67498,135171,233543,132880,92345,48771,141116,NA,NA,39132,48029,690739
Kabupaten Tuban,3523,35,2017,55331,96737,152068,212421,110311,89584,46390,135974,NA,NA,37201,43207,653981
Kabupaten Lamongan,3524,35,2017,59805,40865,100670,152291,138083,125114,56092,181206,NA,NA,61777,66080,638330
Kabupaten Gresik,3525,35,2017,3107,41459,44566,136390,131109,154930,92617,247547,NA,NA,88290,103006,662618
Kabupaten Bangkalan,3526,35,2017,75626,67002,142628,174176,76726,54320,10095,64415,NA,NA,21507,24689,482634
Kabupaten Sampang,3527,35,2017,126871,101107,227978,127658,52343,41315,6932,48247,NA,NA,18797,21505,477731
Kabupaten Pamekasan,3528,35,2017,75934,74589,150523,125190,55121,58208,21586,79794,NA,NA,47131,52773,463401
Kabupaten Sumenep,3529,35,2017,146707,84691,231398,200510,80832,73952,6810,80762,NA,NA,30430,36382,629884
Kota Kediri,3571,35,2017,1479,6203,7682,21934,21251,35999,33158,69157,NA,NA,20339,24664,144688
Kota Blitar,3572,35,2017,238,7477,7715,11657,14290,13906,17582,31488,NA,NA,9872,12524,77674
Kota Malang,3573,35,2017,7467,38752,46219,63855,62253,75678,69443,145121,NA,NA,106294,125587,443035
Kota Probolinggo,3574,35,2017,1597,13859,15456,29312,15612,20808,18413,39221,NA,NA,15283,19247,118848
